job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
nospec_mask,TRUE,470,428,14,84,n/a,n/a,n/a,n/a,0.00,n/a,n/a,n/a,0.03,0.02,n/a,n/a,0.01,0.01,0.03
ptr_eq,TRUE,384,347,6,30,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,0.02,0.01,n/a,n/a,0.00,0.01,0.03
array_eq,TRUE,1256,1415,463,2158,n/a,72,n/a,n/a,0.05,0.02,n/a,n/a,1.19,1.10,n/a,n/a,0.01,0.01,1.22
array_eq_c_str,TRUE,1275,1675,588,2630,n/a,78,n/a,n/a,0.02,0.01,n/a,n/a,0.77,0.71,n/a,n/a,0.01,0.02,0.79
array_eq_c_str_ignore_case,TRUE,1161,669,91,543,n/a,11,n/a,n/a,0.01,0.01,n/a,n/a,0.06,0.02,n/a,n/a,n/a,0.01,0.07
array_eq_ignore_case,TRUE,1055,1172,295,2891,n/a,48,n/a,n/a,0.06,0.02,n/a,n/a,0.93,0.80,n/a,n/a,0.01,0.03,0.95
add_size_checked,TRUE,545,493,35,197,n/a,2,n/a,n/a,0.01,0.01,n/a,n/a,0.03,0.02,n/a,n/a,0.01,0.01,0.05
add_size_saturating,TRUE,519,485,26,172,n/a,n/a,n/a,n/a,0.00,n/a,n/a,n/a,0.06,0.05,n/a,n/a,0.00,0.00,0.08
mul_size_checked,TRUE,543,491,35,171,n/a,2,n/a,n/a,0.01,0.01,n/a,n/a,0.14,0.12,n/a,n/a,0.01,0.01,0.15
mul_size_saturating,TRUE,464,401,24,147,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,0.30,0.28,n/a,n/a,0.01,0.01,0.30
is_power_of_two,TRUE,379,338,7,38,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,0.02,0.01,n/a,n/a,0.01,0.01,0.03
round_up_to_power_of_two,TRUE,540,475,33,659,n/a,2,n/a,n/a,0.01,0.01,n/a,n/a,0.10,0.05,n/a,n/a,0.01,0.03,0.11
array_list_back,TRUE,2088,1457,397,1533,2,95,n/a,n/a,0.07,0.05,n/a,n/a,0.47,0.29,n/a,n/a,0.01,0.04,0.50
array_list_capacity,TRUE,1684,1221,312,1223,n/a,75,n/a,n/a,0.05,0.03,n/a,n/a,0.27,0.18,n/a,n/a,0.01,0.01,0.30
array_list_clean_up,TRUE,1113,868,138,552,n/a,33,n/a,n/a,0.01,0.01,n/a,n/a,0.06,0.01,n/a,n/a,0.01,0.01,0.07
array_list_clear,TRUE,1295,975,208,818,n/a,43,n/a,n/a,0.02,0.01,n/a,n/a,0.61,0.57,n/a,n/a,0.01,0.01,0.63
array_list_comparator_string,TRUE,1172,1420,413,2752,37,20,n/a,n/a,0.11,0.04,n/a,n/a,5.22,5.00,n/a,n/a,0.01,0.05,5.25
array_list_copy,TRUE,2494,1699,482,1866,n/a,111,n/a,n/a,0.07,0.05,n/a,n/a,1.00,0.81,n/a,n/a,0.01,0.04,1.03
array_list_ensure_capacity,TRUE,2217,1546,375,1506,n/a,91,n/a,n/a,0.04,0.05,n/a,n/a,0.85,0.72,n/a,n/a,0.01,0.02,0.88
array_list_erase,TRUE,2689,1700,497,1903,8,119,n/a,n/a,0.08,0.04,n/a,n/a,1.76,1.60,n/a,n/a,0.01,0.03,1.78
array_list_front,TRUE,2021,1431,384,1485,2,91,n/a,n/a,0.04,0.03,n/a,n/a,0.32,0.21,n/a,n/a,0.01,0.03,0.35
array_list_get_at,TRUE,2038,1454,390,1516,2,91,n/a,n/a,0.05,0.03,n/a,n/a,0.34,0.23,n/a,n/a,0.01,0.02,0.36
array_list_get_at_ptr,TRUE,1992,1422,379,1484,n/a,89,n/a,n/a,0.06,0.03,n/a,n/a,0.32,0.21,n/a,n/a,0.01,0.01,0.35
array_list_init_dynamic,TRUE,1555,1031,218,835,n/a,50,n/a,n/a,0.02,0.01,n/a,n/a,0.16,0.13,n/a,n/a,0.01,0.01,0.18
array_list_init_static,TRUE,1666,1246,253,1010,n/a,53,n/a,n/a,0.03,0.02,n/a,n/a,0.25,0.19,n/a,n/a,0.01,0.01,0.28
array_list_length,TRUE,1655,1216,312,1228,n/a,75,n/a,n/a,0.05,0.03,n/a,n/a,0.27,0.18,n/a,n/a,0.01,0.01,0.28
array_list_pop_back,TRUE,1918,1314,348,1358,n/a,85,n/a,n/a,0.06,0.02,n/a,n/a,0.57,0.47,n/a,n/a,0.01,0.01,0.59
array_list_pop_front,TRUE,2063,1420,376,1461,4,89,n/a,n/a,0.09,0.06,n/a,n/a,1.19,0.97,n/a,n/a,0.01,0.06,1.22
array_list_pop_front_n,TRUE,1990,1418,376,1474,4,85,n/a,n/a,0.05,0.02,n/a,n/a,1.28,1.17,n/a,n/a,0.01,0.03,1.31
array_list_push_back,TRUE,2750,1880,491,2070,2,115,n/a,n/a,0.08,0.04,n/a,n/a,0.75,0.58,n/a,n/a,0.01,0.04,0.77
array_list_push_front,TRUE,2685,1841,493,2058,8,113,n/a,n/a,0.07,0.04,n/a,n/a,0.64,0.47,n/a,n/a,0.01,0.04,0.67
array_list_set_at,TRUE,2632,1846,481,2044,2,112,n/a,n/a,0.09,0.04,n/a,n/a,1.74,1.55,n/a,n/a,0.01,0.04,1.78
array_list_shrink_to_fit,TRUE,2391,1494,432,1701,6,98,n/a,n/a,0.06,0.03,n/a,n/a,1.23,1.08,n/a,n/a,0.01,0.04,1.26
array_list_sort,TRUE,1758,1295,325,1279,n/a,78,n/a,n/a,0.04,0.04,n/a,n/a,0.46,0.34,n/a,n/a,0.01,0.02,0.49
array_list_swap,TRUE,2124,1608,389,1807,14,82,n/a,n/a,0.05,0.03,n/a,n/a,4.80,4.67,n/a,n/a,0.01,0.03,4.82
array_list_swap_contents,TRUE,2865,1915,613,2370,n/a,149,n/a,n/a,0.09,0.06,n/a,n/a,0.58,0.39,n/a,n/a,0.01,0.02,0.61
